filler,total_volume,last_trade_date
EuuWqmJE42hjakCYYqhY6g9kpQ5zgMKtmG4bESEEBd1s,517323.0359259999,2025-02-21 16:23:57.000 UTC
E1vyk21abZ97rktZkrNoTbcCqkD3ZaasZvG26DbMMKGs,513440.426665,2025-01-09 12:53:50.000 UTC
7tXNyYZ2UWEkser81apCKamHVqRRwouRtPrWjwAGNSkz,496872.10158199974,2025-02-21 15:31:22.000 UTC
EMAQH7zuYHNxKrw9BSeHg1VX6rarL8optdi3qEfMzUbo,482155.87874,2025-02-17 16:00:13.000 UTC
EEBjRSo6kNeQXpRYmxuuBcBNB4MqxmRsQaarNUJTHBL5,480843.48221800005,2025-02-17 21:06:49.000 UTC
F5nqR9ZZy1USCkKPJELv2f5KajZmcu9JeLRaAv3WKziN,474558.50293299987,2025-01-31 19:06:25.000 UTC
ATkQjHY4yLLdNTx7rEKU43rtz2z3r495NvBewuz8Goqj,453030.1386830001,2025-02-21 02:14:00.000 UTC
2RvsRpCK4ZqeNrzTfeTcVRQRGeem5HH2PJt4VgUag15j,449123.94517000014,2025-02-21 18:04:05.000 UTC
7tgxxBphG5Nza9xN5jyUjkKWBtxxvYX2Rz7GK8uuKqNq,425328.46408700006,2025-02-22 02:54:04.000 UTC
F6HdhLwXjnH1QBPtWGRqtwkDMdbYPME6VfALvfY63hFL,422457.182751,2025-02-20 02:56:26.000 UTC
E26KQcz6VRDoAbENADE9oNoq3QsN6cyksfqe2vqwCnsA,420843.435658,2025-02-20 04:40:33.000 UTC
C7BGWk62GwBXP89HMLWhbCkceSLXfDyx3xDTzLmDWYhB,419718.10342199996,2025-02-15 08:01:22.000 UTC
7TwUwo8jbdZpNnye9wTkvaDv33TmEj3BQJCeXJC4myEd,408864.236829,2025-02-22 02:09:17.000 UTC
FYNfKYSJED6ntp5NgFmSbHyuD7i7NvN1BjM84ceuuGGk,408089.831338,2025-02-21 16:24:22.000 UTC
4S8VpdMEyq87haoMrjQu1r24u7iBoKbwLksvbwUrub87,390776.90638600005,2025-01-28 08:24:25.000 UTC
3N3nzNq2jxTvAZRCu9yhv8VQwj4xgVoRrpkwjFztCeMF,384037.4302429999,2025-02-22 01:46:25.000 UTC
B36YJ6KgxBBmeni4tSuaV2CkmFQiBJ4tCky29pLNoBLf,383707.55554800003,2025-01-27 06:43:57.000 UTC
Dmj84znK6LeZ2mzHGAY5PvAzou8ckN52YCg3Ky1oUWWN,368386.42278999987,2025-02-21 19:47:48.000 UTC
ANJSgvGbuGaMF3nyFNTxt66skMhhSeLWnXKaBWC9ymkY,359670.943276,2025-02-17 22:11:34.000 UTC
3mUVgK8etYa6TAM2ZjjE1L2woJYTYGgcicD4ZRbX469e,358371.31082,2025-02-20 20:30:32.000 UTC
6Cyh8pyBPDTxwvf5rNUwy2K49A6Db4LEHqNXSz7xpJeP,357485.24875499995,2025-02-18 17:00:37.000 UTC
2xUwpyKMVvsFG4oaGB5bVeq2GcApAH8MccPkwk5NEynk,356705.13347999996,2025-02-21 16:15:24.000 UTC
7wYg3JjUjpEdZQXiKpxLxGA3HfdEcBphjgMsnfCJo4XN,339884.71960100014,2025-01-15 23:52:07.000 UTC
HFLTLguV3wZfzCZQqhi3NCNVtRoqA4AjNyPmV5oHBGo6,337087.547703,2025-02-20 20:20:23.000 UTC
9ZFERG1FGS1ZnF1piudThLHZpbkM3ZU5zFVy5KQeSq4k,331835.5073260001,2025-02-21 20:15:44.000 UTC
Dyrn5CA4XNNrPc46twZh3AACdU6bLtttftB3hpzY1FWb,310076.97176700004,2025-02-21 17:43:56.000 UTC
G5b85F3QwTwcULu7ZoHxQoaEbqXkc1yfWkhZm7gfywot,301168.92713400006,2025-02-18 05:03:15.000 UTC
5pLp5kAxVnQ1KXx4pNaPwnonjyAa4knH7itiNzkRihAy,296996.423451,2025-02-11 18:30:32.000 UTC
FMKpwTPT6geFswZLSig8x4oEcRf9VSxM2g9DgsF3XVER,294355.84128700005,2025-02-21 09:29:17.000 UTC
6X58MxdFEYSScAsK4H9tgnUQRU2iiG2aiMstg3XaSskD,292200,2025-01-02 20:19:11.000 UTC
Hv5i4WFRSkuAZvyM9GJxnEtnXUvzbgUn9vwJK1hLcBJ9,282688.473414,2025-02-21 15:14:03.000 UTC
DsDrtcaYkCiFaYTDdQ5sYAiexnN7gkg2iDSvmupYgQUe,276289.261066,2025-02-21 12:27:57.000 UTC
8ue2xNfN5fXVvkFjDiWdmWERPbHEvkWgdq4bZD7FdrwF,274188.47216799995,2025-02-20 03:10:18.000 UTC
C9cFtgnhSumdwWLXqM6hgHNKQEEyzxkLCbYm3UV8qk9,271472.713685,2025-02-20 18:21:33.000 UTC
uWAq9wDdrYjPJFJBN7eqWniUcDzZ32J7cTsu6SywyKK,269187.069863,2025-01-22 17:18:12.000 UTC
HKX4tJZJQCHMh4yPzJfSg6GqdsrBDbYmDibBcHfJsvV3,267350.04115599993,2025-02-08 00:04:50.000 UTC
97JeDw7EM8D7kmzmsH33qSj2MRoHZnndWJrRuqpm6vAz,262951.13997699996,2025-02-20 03:10:18.000 UTC
2YTpEG4oinGSjncFymTrv2ZCt4fGfedAwVK2xK67SyfB,260525.33286800003,2025-02-18 07:30:28.000 UTC
5dskXzsfFVcWty4G7EucuEhgzB8o1GYa7cACdb4PuTdS,258653.116881,2025-01-03 14:41:28.000 UTC
F8AqjSieBiF8HtyREo4H2Yk7L9zUdMnNWQvTUtZGE2n3,254633.16479199997,2025-01-18 16:04:54.000 UTC
2aEv71F1MtvQg17Yn71QhFTPuhyHK1Ahj4nnkqXNWoQ1,246842.642936,2024-12-31 18:27:27.000 UTC
49JvSPQthDWxnKvbjxFZzpGbsFCrjPpziQiVi5tbf3eY,245857.20388299998,2025-02-20 14:30:21.000 UTC
S4KCQuEVukc1dLJccJRLPyyTmmcD64iu7K3zBnuXkhB,244382.35129700002,2025-02-22 01:46:09.000 UTC
4bYZVH9DkP7xKn6ssZwbRKxxNLxBxwAf9PfAErkTud4g,244263.23674099997,2025-01-30 05:26:06.000 UTC
