filler,total_volume,last_trade_date
4Fe3sMQ1TKhUtLzaNsEYMoxCRWMr6PEpaXSe5D5bPPVV,2.297708823951e+06,2024-12-01 16:46:13.000 UTC
2JEC5adUthcP6x2rPDc7q3BKRNMHuUsgGGQVLFX29hsi,2.295567646009001e+06,2024-12-30 21:40:35.000 UTC
9itXagBN4GpktKzPygP9trLz8TrMuF6MN89m8yctkru7,2.267609389498e+06,2024-12-02 10:56:47.000 UTC
G5b85F3QwTwcULu7ZoHxQoaEbqXkc1yfWkhZm7gfywot,2.218816583131e+06,2024-12-29 14:53:02.000 UTC
DRvMg3YLNtN3Zr78ffsQ3FkNGemeMiUXT4CuZwvHG8KL,2.16032032819e+06,2024-12-18 13:17:56.000 UTC
7x3R7eCjq7jesXutzNBKQzv7WvecBvtvbDVF2jgUH9Mq,2.1353948818459995e+06,2024-11-12 04:45:01.000 UTC
F6tpBFoLpuY1r62PqLQS6uxNRVeY6TvfJXVYsuWPwb2p,2.105328928756e+06,2024-09-08 04:57:13.000 UTC
Cfv4jRLSnon31zE4LoXcv842aaAtskWrUX4pTPVJxqFk,2.103016228549001e+06,2024-12-28 02:51:15.000 UTC
HSmse3bqFaAfYi2VYETGPWHYhWFvEVg9gNhrVC78J1X2,2.046904934466e+06,2024-11-11 04:26:58.000 UTC
FtePQq1rdAJ8RvgxZEaG5AutLvWfn7Dgd5UHUeco8xnv,2.0263088774989995e+06,2024-12-14 18:00:18.000 UTC
4cYZeV23hobWR2yXzZDQCQoEePU6XtXKz5kaDrghsuNx,2.0166184116739999e+06,2024-12-09 17:59:55.000 UTC
6cDbu6H9pLmxeiuUbqkkdUkVjNVgkGd1brTTfb6QdKH3,2.0041497551969993e+06,2024-12-19 16:44:40.000 UTC
F4imwWg8jKVbKFiWvmnnkJzW6ys7r5jhTuthduuGnLJG,2.0032977260260007e+06,2024-11-09 15:07:55.000 UTC
EieBxMW1URXbWLvyQmn6WPYpUdb6M3ugU4z6nk9yRJqD,2.0025189812740004e+06,2024-10-20 23:28:35.000 UTC
7gXb2UBhTKteL2YYdcP7MrFfjE37AWNhEBgkmp8tseB9,1.9907126576560005e+06,2024-12-12 05:08:14.000 UTC
9ZFERG1FGS1ZnF1piudThLHZpbkM3ZU5zFVy5KQeSq4k,1.989165654806999e+06,2024-12-30 16:53:35.000 UTC
DjBA5SXWF18nNxr6sm6DJTx5sXLxzmQSWyW2kn1R1QCi,1.9794568396529998e+06,2024-11-08 16:41:19.000 UTC
DPrK8DFqsWYtLcvgowgy36y1kgbA7sYrmFrLk3PJ6XQ8,1.9744267971260003e+06,2024-12-11 22:40:21.000 UTC
9P9jKLWdagezzw534NkxLi3zSjwsPyqrxvLnNq22rvSg,1.9603563883359996e+06,2024-11-28 10:03:27.000 UTC
C3qyw2pNvreabdDhHejHaMuxzTKNUpHsUXqAPiqxL9zd,1.9383541730240006e+06,2024-10-30 14:05:28.000 UTC
F5dmCwZoTRTmmR4ntesgSQsU6CmXNWzKa9Q7Q1TrqfvH,1.8919503287459998e+06,2024-11-14 16:53:37.000 UTC
A7HkhMRB7x85Cc3G2jzkkuWfeJutGbqJ4Tfw3kQW2vCz,1.8743004837289997e+06,2024-11-26 10:57:22.000 UTC
DyfQ23DzmeB6JAWv7cfs8rxWLm1kHrfKco8XSCJRDEZh,1.872959411002e+06,2024-12-12 21:41:35.000 UTC
EhNQh9jQKeEWnqzoov9bMbE7eFbZu4Z9oqEYezbbejVo,1.8544699193770003e+06,2024-12-27 09:21:27.000 UTC
7htQiF2x4UWDvK8QQci6pJUNJyWpWnDDaBEvoeEfEMSu,1.8422725608530012e+06,2024-12-11 22:04:17.000 UTC
6ysJgzeeZfbZhoWu3t95xZACeghPRyzed2Zw8wQAbage,1.8324426787879996e+06,2024-11-13 02:52:18.000 UTC
51sQ3ihfpXzoUPx2yRVCbi5tf4vES2tcmNR2B9axE3sQ,1.8235607429229992e+06,2024-12-28 19:15:09.000 UTC
Anqwez6NjYjQCk6J6eX4o75iewJjjyiWUpTqwRpGnUKe,1.8064045985229996e+06,2024-12-13 18:16:41.000 UTC
5uXoKrcg9RcFQAaAsLgFF23LzyDBTB4U2Lx7QGEpRvXA,1.7948393719469998e+06,2024-09-26 01:21:49.000 UTC
8sSChHzCm3BktK4TDy1ZQkMN251TqQdrYrnuogwNUmJH,1.7853697675699997e+06,2024-11-12 17:21:07.000 UTC
BP6pziarETBMtahgUU3qE8EAEas1KrZH3PoUMQ2shiSP,1.7832388738500003e+06,2024-12-27 16:56:49.000 UTC
FhPcZj4fuUnYQiBkamEjzb2B776zJHatG3Z37zcFMtYd,1.7650936392450004e+06,2024-11-18 23:24:40.000 UTC
ByZWnLCJ3o9RLhUFApsXFidun3r5CYdzoSPvYQmd5zi2,1.7539540403200001e+06,2024-10-14 14:32:36.000 UTC
